COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
366	1935	carrierNo	5686	28	text	1	0		0	180		
367	1935	carrierSName	5704	29	text	1	0		0	180		
368	1935	openFlg	5706	30	text	1	0		0	180		
369	1935	makerCaseNo	5578	31	text	1	0		0	180		
370	1935	restqtyCarton	5705	32	number	1	0	right	0	180		
371	1935	centerCd	4971	33	text	0	0		0	180		
372	1935	centerNm	4972	34	text	0	0		0	180		
373	1935	clientCd	297	35	text	0	0		0	180		
374	1935	clientNm	303	36	text	0	0		0	180		
375	1944	boxCd	837	1	text	1	0		0	160		
376	1944	boxNm	292	2	text	1	0		0	160		
377	1944	mcarrierBoxList[0].delFlg	805	4	dropdown	1	1		0	160		
378	1944	mcarrierBoxList[0].boxSizeCd	1693	3	text	1	1		1	160		
379	1951	mcenter.centerCd	202	10	text	1	0		0	110		
380	1951	mcenter.centerNm	208	11	text	1	0		0	300		
381	1951	carrierCd	284	1	text	1	0		0	110		
382	1951	carrierNm	286	2	text	1	0		0	300		
383	1951	carrierAbbr	287	3	text	1	0		0	300		
384	1951	delFlg	1196	8	text	1	0		0	150		
385	1951	mcommonCarrier.carrierCd	1689	4	text	1	0		0	200		
386	1951	mcommonCarrier.carrierNm	1690	5	text	1	0		0	300		
387	1951	bclassDtlByDelFlg.vdict.dictNm	1197	9	text	1	0		0	125		
388	1951	mcommonCarrier.bolOutputTargetFlg	2970	6	text	0	0		0	300		
389	1951	mcommonCarrier.bclassDtlByBolOutputTargetFlg.vdict.dictNm	2971	7	text	0	0		0	300		
390	1965	mcustomer.customerCd	423	1	text	1	0		0	300		
391	1965	mcustomer.customerNm	425	2	text	1	0		0	300		
392	1965	collectAccountNoBillTo	3028	3	text	1	0		0	300		
393	1965	collectZipCdBillTo	3029	4	text	1	0		0	300		
394	1965	collectCountryCdBillTo	3030	5	text	1	0		0	300		
395	1965	paymentTermCdTaxesTo	3031	6	text	1	0		0	300		
396	1965	collectAccountNoTaxesTo	3032	7	text	1	0		0	300		
