DICT_CULTURE_ID	DICT_NM
8902	Bill of Lading Print Flag
8903	Bill of Lading发行标志
8904	Bill of Lading発行フラグ名称
8905	Bill of Lading Print Flag Name
8906	Bill of Lading发行标志名称
8907	Bill of Lading発行対象フラグ
8908	Bill of Lading Print Target Flag
8909	Bill of Lading发行对象标志
8910	Bill of Lading発行対象フラグ名称
8911	Bill of Lading Print Target Flag Name
8912	Bill of Lading发行对象标志名称
8913	Bill of Lading発行対象
8914	Bill of Lading Print Target
8915	Bill of Lading发行对象
8916	Payment Term
8917	Payment Term
8918	Payment Term
8919	Payment Term名称
8920	Payment Term Name
8921	Payment Term名称
8922	PrePaid
8923	PrePaid
8924	PrePaid
8925	PrePaid & Bill
8926	PrePaid & Bill
8927	PrePaid & Bill
8928	Collect
8929	Collect
8930	Collect
8931	COD Bill FRT
8932	COD Bill FRT
8933	COD Bill FRT
8934	COD NOT Bill FRT
8935	COD NOT Bill FRT
8936	COD NOT Bill FRT
8940	貨物追跡番号登録
8941	Register Cargo Tracking No.
8942	货物跟踪编号登陆
8943	貨物追跡No
8944	Cargo Tracking No
8945	货物跟踪No
9624	単行出荷検品
9625	Single Inspection
9626	单行发货检品
9654	単行出荷検品(No)
9655	         Single Inspection (No)
9656	单行发货检品(No)
9657	単行出荷検品(商品)
9658	      Single Inspection (Product)
9659	单行发货检品(商品)
9660	作業指示数選択
9661	    Operation Instruct Qty Select
9662	作业指示数选择
9663	単行出荷検品(箱登録)
9664	   Single Inspection (Box Register)
9665	单行发货检品(箱登陆)
9666	単行出荷検品(ｿｰｽCD)
9667	   Single Inspection (Source Code)
9668	单行发货检品(代码CD)
9669	作業指示数
9670	         Operation Instruct Qty
9671	作业指示数
9672	伝票残数
9673	Remaining Number of slips
9674	单据残数
10046	日付…
10047	Date…
10048	時刻…
10049	Time…
10050	勤怠入力(結果)
10051	Attendance Imput (Result)
10052	しました。
10053	 
10054	入庫管理ﾒﾆｭｰ
10055	出庫管理ﾒﾆｭｰ
10056	在庫管理ﾒﾆｭｰ
10057	在庫調査管理ﾒﾆｭｰ
10058	ｼｽﾃﾑﾒﾆｭｰ
10087	在庫移動入庫
10307	-
10756	うしろ補充
10757	まえ補充
11435	パレットはり紙
11618	銘柄CD
11620	商社搬入番号
11622	製造年月日
11660	銘柄名称
11661	製造記号
11816	ﾊﾟﾚｯﾄ
11817	ｹｰｽ
11818	ｶｰﾄﾝ
11852	ﾒｲﾝﾒﾆｭｰ
11853	ﾒﾆｭｰ
11854	ｼｽﾃﾑ
11855	在庫調査管理
11860	ﾃﾞｻﾞｲﾝ区分
12151	◆移動方法選択
12152	はい替入庫
12153	ラック裏補充
12154	◆ﾊﾟﾚｯﾄはり紙入力
12155	ﾊﾟﾚｯﾄはり紙
12156	◆移動先ﾛｹｰｼｮﾝ入力
12157	移動先ﾛｹｰｼｮﾝ
12158	◆先頭ｹｰｽ2次元ﾊﾞｰｺｰﾄﾞ入力
12159	2次元ﾊﾞｰｺｰﾄﾞ
12160	補充先ﾛｹｰｼｮﾝ
12161	◆先頭ｹｰｽ残数量入力
12162	◆2次元ﾊﾞｰｺｰﾄﾞ入力
12163	◆月替/ﾃﾞｻﾞｲﾝ変更警告
12164	補充先のﾛｹに月替/ﾃﾞｻﾞｲﾝ
12165	変更の製品が存在します。
12166	補充しますか？
12167	◆製造年月日警告
