CLASS_DTL_ID	CLASS_ID	CLASS_DTL_CD	DICT_ID	VIEW_ORDER	DEFAULT_FLG
1957	334	8017	4484	23	0
1958	334	8019	4485	24	0
1959	334	8020	4486	25	0
1960	334	8318	4487	26	0
1961	334	8042	4488	27	0
1962	334	8025	4489	28	0
1963	334	8027	4490	29	0
1964	334	8036	4491	30	0
1965	334	8499	4492	31	0
1966	334	8359	4493	32	0
1967	334	8460	4494	33	0
1968	334	8010	4495	34	0
1969	335	0000	1791	1	0
1970	335	9999	3774	2	0
1971	336	0	4496	1	0
1972	336	1	4497	2	0
1973	337	MACHINENO	4498	1	0
1974	338	1	710	1	0
1975	338	0	1761	2	0
1976	339	TraceConfirmationViewForm	4499	1	0
1977	339	TraceInquiryViewForm	4500	2	0
1978	339	TraceSendTransactionForm	4501	3	0
1979	339	AssortOrderViewForm	3422	4	0
1980	340	8351	4502	1	0
1981	340	8075	4503	2	0
1982	340	8037	4504	3	0
1983	340	8002	4505	4	0
1984	340	8004	4506	5	0
1985	340	8005	4507	6	0
1986	340	8006	4508	7	0
1987	340	8034	4509	8	0
1988	340	8009	4510	9	0
1989	340	8356	4511	10	0
1990	340	8352	4512	11	0
1991	340	8357	4513	12	0
1992	340	8042	4514	13	0
1993	340	8044	4515	14	0
1994	340	8039	4516	15	0
1995	340	8077	4517	16	0
1996	340	8012	4518	17	0
1997	340	8045	4519	18	0
1998	340	8011	4520	19	0
1999	340	8355	4521	20	0
2000	340	8067	4522	21	0
2001	340	8016	4523	22	0
2002	340	8018	4524	23	0
2003	340	8017	4525	24	0
2004	340	8019	4526	25	0
2005	340	8020	4527	26	0
2006	340	8318	4528	27	0
2007	340	8025	4529	28	0
2008	340	8027	4530	29	0
2009	340	8036	4531	30	0
2010	340	8499	4532	31	0
2011	340	8359	4533	32	0
2012	340	8460	4534	33	0
2013	340	8010	4535	34	0
2014	341	8351	4536	1	0
2015	341	8075	4537	2	0
2016	341	8037	4538	3	0
2017	341	8002	4539	4	0
2018	341	8004	4540	5	0
2019	341	8005	4541	6	0
2020	341	8006	4542	7	0
2021	341	8034	4543	8	0
2022	341	8009	4544	9	0
2023	341	8356	4545	10	0
2024	341	8352	4546	11	0
2025	341	8357	4547	12	0
2026	341	8042	4548	13	0
2027	341	8044	4549	14	0
2028	341	8039	4550	15	0
2029	341	8077	4551	16	0
2030	341	8012	4552	17	0
2031	341	8045	4553	18	0
2032	341	8011	4554	19	0
2033	341	8355	4555	20	0
2034	341	8067	4556	21	0
2035	341	8016	4557	22	0
2036	341	8018	4558	23	0
2037	341	8017	4559	24	0
2038	341	8019	4560	25	0
2039	341	8020	4561	26	0
2040	341	8318	4562	27	0
2041	341	8025	4563	28	0
2042	341	8027	4564	29	0
2043	341	8036	4565	30	0
2044	341	8499	4566	31	0
2045	341	8359	4567	32	0
2046	341	8460	4568	33	0
2047	341	8010	4569	34	0
2048	342	02	4570	1	0
2049	342	09	4571	2	0
2050	343	0	4572	1	0
2051	343	1	4573	2	0
2052	344	0	4574	1	0
2053	344	1	4575	2	0
2054	345	0	4576	1	0
