REPORT_LAYOUT_ITEM_ID	REPORT_LAYOUT_ID	ITEM_CD	DICT_ID	ITEM_TYPE	VISIBLE	ITEM_FORMAT
1046	56	lblClientNm	734	String	1	
1047	56	lblCntrNm	5142	String	1	
1048	56	lblProdCd	765	String	1	
1049	56	lblDepositNm	762	String	1	
1050	56	lblStockType	763	String	1	
1051	56	lblLimitDt	313	String	1	
1052	56	lblLot	266	String	1	
1053	56	lblWarehouseNm	723	String	1	
1054	56	lblZoneNm	724	String	1	
1055	56	lblTLocationNm1	1125	String	1	
1056	56	lblTLocationNm2	1126	String	1	
1057	56	lblPinkLoc1	1128	String	1	
1058	56	lblPinkLoc2	1126	String	1	
1059	56	lblShippingLoc1	1864	String	1	
1060	56	lblShippingLoc2	1126	String	1	
1061	56	lblStoreLoc1	1863	String	1	
1062	56	lblStoreLoc2	1126	String	1	
1063	56	lblBreakdown	2681	String	1	
1064	56	lblStringUnitNum	585	String	1	
1065	56	lblStoreLabelNo	573	String	1	
1066	56	lblStoreNum	2927	String	1	
1067	56	lblTitle	1287	String	1	
1068	56	lblStoreDt	583	String	1	
1069	57	lblClientNm	734	String	1	
1070	57	lblCntrNm	5142	String	1	
1071	57	lblProdCd	765	String	1	
1072	57	lblDepositNm	762	String	1	
1073	57	lblStockType	763	String	1	
1074	57	lblLimitDt	313	String	1	
1075	57	lblLot	266	String	1	
1076	57	lblWarehouseNm	723	String	1	
1077	57	lblZoneNm	724	String	1	
1078	57	lblTLocationNm1	1125	String	1	
1079	57	lblTLocationNm2	1126	String	1	
1080	57	lblPinkLoc1	1128	String	1	
1081	57	lblPinkLoc2	1126	String	1	
1082	57	lblShippingLoc1	1864	String	1	
1083	57	lblShippingLoc2	1126	String	1	
1084	57	lblStoreLoc1	1863	String	1	
1085	57	lblStoreLoc2	1126	String	1	
1086	57	lblBreakdown	2681	String	1	
1087	57	lblStringUnitNum	585	String	1	
1088	57	lblStoreLabelNo	573	String	1	
1089	57	lblStoreNum	2927	String	1	
1090	57	lblTitle	1287	String	1	
1091	57	lblStoreDt	583	String	1	
1092	58	lblMultiPickingList	1521	String	1	
1093	58	lblEmergency	1549	String	1	
1094	58	lblAgain	1118	String	1	
1095	58	lblPage	1114	String	1	
1096	58	lblClientCd	734	String	1	
1097	58	lblWarehouseCd	723	String	1	
1098	58	lblWorkDt	387	String	1	
1099	58	lblCartNoBar	1550	String	1	
1100	58	lblPickingGroupNo	217	String	1	
1101	58	lblLineNo	760	String	1	
1102	58	lblLocationNm	776	String	1	
1103	58	lblJancd	180	String	1	
1104	58	lblProductCd	465	String	1	
1105	58	lblSumPickingNum	1138	String	1	
1106	58	lblPackingNum	1551	String	1	
1107	58	lblStoreLabelNo	573	String	1	
1108	58	lblProductNm	469	String	1	
1109	58	lblLimitDt	313	String	1	
1110	58	lblLot	266	String	1	
1111	58	lblAllPage	1547	String	1	
1112	58	lblPackingNumA	1552	String	1	
1113	58	lblPackingNumB	1553	String	1	
1114	58	lblPackingNumC	1554	String	1	
1115	58	lblPackingNumD	1555	String	1	
1116	58	lblPackingNumE	1556	String	1	
1117	58	lblPackingNumF	1557	String	1	
1118	58	lblStoreDt	583	String	1	
1119	59	lblMultiPickingList	1521	String	1	
1120	59	lblEmergency	1549	String	1	
1121	59	lblAgain	1118	String	1	
1122	59	lblPage	1114	String	1	
1123	59	lblClientCd	734	String	1	
1124	59	lblWarehouseCd	723	String	1	
1125	59	lblWorkDt	387	String	1	
1126	59	lblCartNoBar	1550	String	1	
1127	59	lblPickingGroupNo	217	String	1	
1128	59	lblLineNo	760	String	1	
1129	59	lblLocationNm	776	String	1	
1130	59	lblJancd	180	String	1	
1131	59	lblProductCd	465	String	1	
1132	59	lblSumPickingNum	1138	String	1	
1133	59	lblPackingNum	1551	String	1	
1134	59	lblStoreLabelNo	573	String	1	
1135	59	lblProductNm	469	String	1	
1136	59	lblLimitDt	313	String	1	
1137	59	lblLot	266	String	1	
1138	59	lblAllPage	1547	String	1	
1139	59	lblPackingNumA	1552	String	1	
1140	59	lblPackingNumB	1553	String	1	
1141	59	lblPackingNumC	1554	String	1	
1142	59	lblPackingNumD	1555	String	1	
1143	59	lblPackingNumE	1556	String	1	
1144	59	lblPackingNumF	1557	String	1	
1145	59	lblStoreDt	583	String	1	
1146	60	lblMultiPickingList	1521	String	1	
1147	60	lblEmergency	1549	String	1	
1148	60	lblAgain	1118	String	1	
1149	60	lblPage	1114	String	1	
1150	60	lblClientCd	734	String	1	
1151	60	lblWarehouseCd	723	String	1	
1152	60	lblWorkDt	387	String	1	
1153	60	lblCartNoBar	1550	String	1	
1154	60	lblPickingGroupNo	217	String	1	
1155	60	lblLineNo	760	String	1	
1156	60	lblLocationNm	776	String	1	
1157	60	lblJancd	180	String	1	
1158	60	lblProductCd	465	String	1	
1159	60	lblSumPickingNum	1138	String	1	
1160	60	lblPackingNum	1551	String	1	
1161	60	lblStoreLabelNo	573	String	1	
1162	60	lblProductNm	469	String	1	
1163	60	lblLimitDt	313	String	1	
1164	60	lblLot	266	String	1	
1165	60	lblAllPage	1547	String	1	
1166	60	lblPackingNumA	1552	String	1	
1167	60	lblPackingNumB	1553	String	1	
1168	60	lblPackingNumC	1554	String	1	
1169	60	lblPackingNumD	1555	String	1	
1170	60	lblPackingNumE	1556	String	1	
1171	60	lblPackingNumF	1557	String	1	
1172	60	lblStoreDt	583	String	1	
1173	61	lblRecdMkda	5600	String	1	
1174	62	lblNonconformityStockReportList	4727	String	1	
1175	62	lblInventoryDt	5280	String	1	
1176	62	lblUserNum4	5281	String	1	
1177	62	lblCggdId	5282	String	1	
1178	62	lblManager	5265	String	1	
1179	62	lblManagerStamp	5266	String	1	
1180	62	lblUser	5267	String	1	
1181	62	lblUserStamp	5268	String	1	
1182	62	lblProdctCd	5283	String	1	
1183	62	lblProductAbbr	4960	String	1	
1184	62	lblExcessOrDeficiencyTotal	5284	String	1	
1185	62	lblHenpin	4775	String	1	
1186	62	lblTaxRefond	4795	String	1	
1187	62	lblNonconformityStockTotalNum	5285	String	1	
1188	62	lblInventoryQty	5286	String	1	
1189	62	lblStockCaseSu	1155	String	1	
1190	62	lblStockCartonSu	5016	String	1	
1191	62	lblCheck1	5287	String	1	
1192	62	lblMonthStatusSu	5288	String	1	
1193	62	lblCheck2	5287	String	1	
1194	62	lblSuffErerQty	4804	String	1	
1195	62	lblPackingNum	364	String	1	
1196	62	lblRefundItemQty	4795	String	1	
1197	62	lblCheck3	5287	String	1	
1198	62	lblTotal	1129	String	1	
1199	62	lblExcess	5289	String	1	
1200	62	lblShortage	5290	String	1	
1201	63	lblClientCd	734	String	1	
