IDENTIFY	BUSINESS_NM	TABLE_NM	TABLE_PHYSICAL_NM	COLUMN_NM	COLUMN_PHYSICAL_NM	CLASS_CD
BASE	トランザクション出荷系	梱包帳票	T_PACKING_R	SD検品ラベル出力フラグ	INSPECTION_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫ヘッダ	T_PICKING_H	センタ間移動フラグ	CENTER_TRANSIT_FLG	CENTER_TRANSIT_FLG
BASE	トランザクション出荷系	出庫ヘッダ	T_PICKING_H	強制確定フラグ	FORCE_FIXED_FLG	FORCE_FIXED_FLG
BASE	トランザクション出荷系	出庫ヘッダ	T_PICKING_H	梱包計算処理区分	PACKING_CAL_CLS	PACKING_CAL_CLS
BASE	トランザクション出荷系	出庫ヘッダ	T_PICKING_H	出庫ステータス	PICKING_STATUS	PICKING_STATUS
BASE	トランザクション出荷系	出庫ヘッダ	T_PICKING_H	単行ピックフラグ	SGL_ROW_PIC_FLG	SGL_ROW_PIC_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	送り状データ作成フラグ	INVOICE_CREATE_FLG	INVOICE_CREATE_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	オーダーピッキングリスト出力フラグ	OPL_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	トータルピッキングリスト出力フラグ	TPL_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	ケースピッキングリスト出力フラグ	CASE_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	マルチピッキングリスト出力フラグ	MLT_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	単行ピッキングリスト出力フラグ	SPL_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	摘み取りリスト出力フラグ	PL_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	種蒔きリスト出力フラグ	SL_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	1次ピッキングリスト出力フラグ	PL1_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	2次ピッキングリスト出力フラグ	PL2_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	納品明細書出力フラグ	PACKING_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	送り状出力フラグ	SLIP_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	出荷実績出力フラグ	SHIPPING_RECORD_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション入荷系	入荷予定ボディ	T_RECEIVE_PLAN_B	エラーフラグ	ERROR_FLG	ERROR_FLG
BASE	トランザクション入荷系	入荷予定ボディ	T_RECEIVE_PLAN_B	入荷ステータス	RECEIVE_STATUS	RECEIVE_STATUS
BASE	トランザクション入荷系	入荷予定ヘッダ	T_RECEIVE_PLAN_H	センタ間移動フラグ	CENTER_TRANSIT_FLG	CENTER_TRANSIT_FLG
BASE	トランザクション入荷系	入荷予定ヘッダ	T_RECEIVE_PLAN_H	エラーフラグ	ERROR_FLG	ERROR_FLG
BASE	トランザクション入荷系	入荷予定ヘッダ	T_RECEIVE_PLAN_H	入力区分	INPUT_TYPE	INPUT_TYPE
BASE	トランザクション入荷系	入荷予定ヘッダ	T_RECEIVE_PLAN_H	入荷納品ステータス	RECEIVE_DELIVERY_STATUS	RECEIVE_DELIVERY_STATUS
BASE	トランザクション入荷系	入荷予定ヘッダ	T_RECEIVE_PLAN_H	入荷ステータス	RECEIVE_STATUS	RECEIVE_STATUS
BASE	トランザクション入荷系	入荷予定帳票	T_RECEIVE_PLAN_R	入荷予定リスト出力フラグ	RPL_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	出荷指示ボディ	T_SHIPPING_INST_B	エラーフラグ	ERROR_FLG	ERROR_FLG
BASE	トランザクション出荷系	出荷指示ヘッダ	T_SHIPPING_INST_H	納品時間帯	DELIV_TZ	DELIV_TZ
BASE	トランザクション出荷系	出荷指示ヘッダ	T_SHIPPING_INST_H	緊急フラグ	EMERGENCY_FLG	EMERGENCY_FLG
BASE	トランザクション出荷系	出荷指示ヘッダ	T_SHIPPING_INST_H	エラーフラグ	ERROR_FLG	ERROR_FLG
BASE	トランザクション出荷系	出荷指示ヘッダ	T_SHIPPING_INST_H	入力区分	INPUT_TYPE	INPUT_TYPE
BASE	トランザクション出荷系	出荷指示ヘッダ	T_SHIPPING_INST_H	出荷ステータス	SHIPPING_STATUS	SHIPPING_STATUS
BASE	トランザクション出荷系	出荷指示ヘッダ	T_SHIPPING_INST_H	欠品フラグ	STOCK_OUT_FLG	STOCK_OUT_FLG
BASE	トランザクション在庫系	在庫受払	T_STOCK_INOUT	赤黒区分	CORRECT_TYPE	CORRECT_TYPE
BASE	トランザクション在庫系	在庫受払	T_STOCK_INOUT	入出庫区分	INOUT_TYPE	INOUT_TYPE
BASE	トランザクション在庫系	入庫No.帳票	T_STORE_NO_R	入庫ラベル出力フラグ	TWL_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション入荷系	入庫実績ボディ	T_STORE_RECORD_B	入力区分	INPUT_TYPE	INPUT_TYPE
BASE	トランザクション入荷系	入庫実績ボディ	T_STORE_RECORD_B	入庫格納フラグ	STORE_FLG	STORE_FLG
BASE	トランザクション出荷系	入庫実績帳票	T_STORE_RECORD_R	入荷実績出力フラグ	RECEIVE_RECORD_OUT_FLG	LIST_OUT_FLG
BASE	トランザクション出荷系	ピッキング提案	T_PIC_MTHD_RCMD	提案ピッキング方法	RCMD_PICKING_CLS	RCMD_PICKING_CLS
BASE	トランザクション出荷系	ピッキング提案	T_PIC_MTHD_RCMD	緊急フラグ	EMERGENCY_FLG	EMERGENCY_FLG
BASE	作業実績系	作業実績	T_WORK_LOG	作業ステータス	WORK_STATUS	WORK_STATUS
BASE	作業実績系	作業実績	T_WORK_LOG	作業実績出力フラグ	WORK_LOG_OUT_FLG	WORK_LOG_OUT_FLG
BASE	トランザクション出荷系	出庫帳票	T_PICKING_R	Bill of Lading出力フラグ	BOL_OUT_FLG	BOL_OUT_FLG
BASE	ワーク出荷系	単行出荷検品ワークボディ	W_SGL_ROW_SHIP_INSP_B	検品フラグ	INSPECTION_FLG	INSPECTION_FLG
BASE	マスタ	共通運送業者マスタ	M_COMMON_CARRIER	Bill of Lading出力対象フラグ	BOL_OUTPUT_TARGET_FLG	BOL_OUTPUT_TARGET_FLG
BASE	マスタ	配送コースマスタ	M_DELIVERY_COURSE	Payment Term	PAYMENT_TERM	PAYMENT_TERM
BASE	マスタ	パラメータマスタ	M_PARAM	CES連携フラグ	CES_INTEGRATION_FLG	CES_INTEGRATION_FLG
BASE	マスタ	パラメータマスタ	M_PARAM	納品明細書自動発行フラグ	PACKING_SLIP_AUTO_OUTPUT_FLG	PACKING_SLIP_AUTO_OUTPUT_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Saturday Delivery Flag	SAT_DELIVERY_FLG	SAT_DELIVERY_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Residential Delivery Flag	RESIDENTIAL_DELIVERY_FLG	RESIDENTIAL_DELIVERY_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Collect On Delivery Flag	COD_FLG	COD_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Signature Required Flag	SIGNATURE_REQUIRED_FLG	SIGNATURE_REQUIRED_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Signature Release Flag	SIGNATURE_RELEASE_FLG	SIGNATURE_RELEASE_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Call Before Delivery Flag	CALL_BEFORE_DELIVERY_FLG	CALL_BEFORE_DELIVERY_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Freezable Protection Flag	FREEZABLE_PROTECTION_FLG	FREEZABLE_PROTECTION_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Guaranteed Plus Flag	GUARANTEED_PLUS_FLG	GUARANTEED_PLUS_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Residential Pickup Flag	RESIDENTIAL_PICKUP_FLG	RESIDENTIAL_PICKUP_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Do Not Stack Pallets Flag	DO_NOT_STACK_STACK_FLG	DO_NOT_STACK_STACK_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Limited Access Delivery Flag	LIMITED_ACCESS_DELIVERY_FLG	LIMITED_ACCESS_DELIVERY_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Limited Access Pickup Flag	LIMITED_ACCESS_PICKUP_FLG	LIMITED_ACCESS_PICKUP_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Over-Sized/Extreme Length Flag	OVER_SIZED_FLG	OVER_SIZED_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Poison Flag	POISON_FLG	POISON_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Food Flag	FOOG_FLG	FOOG_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Liftgate at delivery Flag (Prepaid)	LIFTGATE_DELIVERY_PREPAID_FLG	LIFTGATE_DELIVERY_PREPAID_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Liftgate at delivery Flag (Collect)	LIFTGATE_DELIVERY_COLLECT_FLG	LIFTGATE_DELIVERY_COLLECT_FLG
BASE	マスタ	キャリアEDIシステム送り状マスタ	M_CARRIER_SLIP_CES	Liftgate at pickup Flag (Prepaid)	LIFTGATE_PICKUP_PREPAID_FLG	LIFTGATE_PICKUP_PREPAID_FLG
