MENU_GRP_CD	DICT_NM	PARENT_MENU_GRP_CD	VIEW_ORDER	VISIBLE_TYPE	SCREEN_CD	DICT_NM	DICT_NM	URL_PATH	TARGET_WINDOW	VIEW_ORDER	DEL_FLG
SYSTEM	システム		9	PC	ReportLayoutList	帳票レイアウトマスタメンテナンス		#/base/master/ReportLayoutList	0	4	0
SYSTEM	システム		9	PC	CenterClassList	センタ別区分値マスタメンテナンス		#/wms/master/CenterClassList	0	5	0
SYSTEM	システム		9	PC	CenterClientScreenMaster	センタ・荷主別画面マスタメンテナンス		#/wms/master/CenterClientScreenMaster	0	6	0
SYSTEM	システム		9	PC	CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス		#/wms/master/CenterClientScreenItemMaster	0	7	0
SYSTEM	システム		9	PC	CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス		#/wms/master/CenterClientScreenColMaster	0	8	0
SYSTEM	システム		9	PC	ProcessTypeMaster	処理区分マスタメンテナンス		#/wms/master/ProcessTypeMaster	0	9	0
SYSTEM	システム		9	PC	DictMaster	辞書マスタメンテナンス		#/base/master/DictMaster	0	10	0
SYSTEM	システム		9	PC	DictCultureMaster	辞書カルチャマスタメンテナンス		#/base/master/DictCultureMaster	0	11	0
SYSTEM	システム		9	PC	ClassList	区分値マスタメンテナンス		#/base/master/ClassList	0	12	0
SYSTEM	システム		9	PC	MessageMaster	メッセージマスタメンテナンス		#/base/master/MessageMaster	0	13	0
SYSTEM	システム		9	PC	ScreenList	画面マスタメンテナンス		#/base/master/ScreenList	0	14	0
SYSTEM	システム		9	PC	MenuGrpList	メニューマスタメンテナンス		#/base/master/MenuGrpList	0	15	0
SYSTEM	システム		9	PC	GridColExtBaseEdit	グリッドヘッダ設定(基本)		#/base/common/GridColExtBaseEdit	0	16	0
SYSTEM	システム		9	PC	SystemEdit	システム管理マスタメンテナンス		#/base/master/SystemEdit	0	17	0
SYSTEM	システム		9	PC	PropertyMaster	プロパティマスタメンテナンス		#/base/master/PropertyMaster	0	18	0
SYSTEM	システム		9	PC	HTDictMaster	SD辞書マスタメンテナンス		#/wms/master/HTDictMaster	0	19	0
SYSTEM	システム		9	PC	HTDictCultureMaster	SD辞書カルチャマスタメンテナンス		#/wms/master/HTDictCultureMaster	0	20	0
SYSTEM	システム		9	PC	HTMessageMaster	SDメッセージマスタメンテナンス		#/wms/master/HTMessageMaster	0	21	0
