メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
inputLimitCheckTimeOnlyError	error	base	ja-JP	時刻のみ	時刻のみ	[0]は時刻のみ入力可能です。								
insertProcessNormalEndInformation	info	base	ja-JP	正常に登録されました。	正常終了									
integerError	error	base	ja-JP	整数のみ	整数のみ	[0]は整数で入力してください。								
integerLengthError	error	base	ja-JP	整数[0]桁以内	整数[0]桁以内	[0]は整数[1]桁以下で入力してください。								
isMismatchBColAndExtWarn	warn	base	ja-JP	最後に列の順序、幅を変更した後に、列の追加が行われています。設定画面から設定し直してください。										
itemCdDuplicateError	error	base	ja-JP	項目CDが重複しています。	重複									
itemEditableCannotSelectExceptionError	error	base	ja-JP	編集不可の項目は編集可を設定できません。	編集不可項目									
itemMasterError	error	base	ja-JP	項目マスタ取得エラー	取得失敗									
itemNecessaryableCannotSelectExceptionError	error	base	ja-JP	必須の項目は任意を設定できません。	必須項目									
itemVisibleCannotSelectExceptionError	error	base	ja-JP	表示不可の項目は表示可を設定できません。	表示不可項目									
jobQueEntryRemoteAuthConnectError	error	base	ja-JP	非同期処理の起動予約登録に失敗しました。システム管理者に問い合わせてください。[/]認証APIへ接続できません。([0])										
jobQueEntryRemoteAuthError	error	base	ja-JP	非同期処理の起動予約登録に失敗しました。システム管理者に問い合わせてください。[/]認証に失敗しました。([0])										
jobQueEntryRemoteFailed	error	base	ja-JP	非同期処理の起動予約登録に失敗しました。システム管理者に問い合わせてください。([0])										
jobQueEntryRemoteServerConnectError	error	base	ja-JP	非同期処理の起動予約登録に失敗しました。システム管理者に問い合わせてください。[/]ジョブ管理システムへ接続できません。([0])										
keyDownBackSpaceInfo	info	base	ja-JP	backspaceが押されました。[/]前ページへ移動しますか？										
layoutNmNotFoundError	error	base	ja-JP	指定されたレイアウト名称は辞書マスタに登録されていません。	未登録									
liteLoginErrorBecameLockout	error	base	ja-JP	ログインすることができません｡[/]ロックアウトされました。システム管理者に問い合わせてください。										
liteLoginErrorLockout	error	base	ja-JP	ログインすることができません｡[/]ロックアウトされています。システム管理者に問い合わせてください。										
liteLoginErrorNoUser	error	base	ja-JP	[0]・[1]に誤りがあるか、登録されていません。										
liteLoginErrorUserAvailableOutOfPeriod	error	base	ja-JP	ログインすることができません｡[/]ユーザが利用期間外です。システム管理者に問い合わせてください。										
liteLoginInfoPasswordExpired	info	base	ja-JP	パスワードの有効期限が切れています。[/]パスワードを変更してください。										
liteLoginInfoPasswordReset	info	base	ja-JP	パスワードがリセットされています。[/]パスワードを変更してください。										
logoutTitle	info	base	ja-JP	ログアウト										
mainMenuTitle	info	base	ja-JP	メニュー										
masterNotFoundError	error	base	ja-JP	マスタ未存在	未存在									
maxError	error	base	ja-JP	最大[0]以下	最大[0]以下	[0]は[1]以下で入力してください。								
maxFileSize	error	base	ja-JP	サーバへ送信可能なファイルサイズを超えています。	ファイルサイズ超過									
maxNumberOfFiles	error	base	ja-JP	サーバへ送信可能なファイル数を超えています。	ファイル数超過									
maxlengthError	error	base	ja-JP	最大[0]文字以下	最大[0]文字以下	[0]は[1]文字以下で入力してください。								
menuGrpCdDuplicateError	error	base	ja-JP	メニューグループCDが重複しています。	重複									
menuMasterError	error	base	ja-JP	メニューマスタ取得エラー	取得失敗									
messageCdDuplicateError	error	base	ja-JP	メッセージCDが重複しています。	重複									
messageMasterError	error	base	ja-JP	メッセージマスタ取得エラー	取得失敗									
messageNotFoundError	error	base	ja-JP	メッセージマスタに存在しません。	未存在									
minError	error	base	ja-JP	最小[0]以上	最小[0]以上	[0]は[1]以上で入力してください。								
minFileSize	error	base	ja-JP	サーバへ送信可能なファイルサイズに達していません。	ファイルサイズ不足									
minlengthError	error	base	ja-JP	最小[0]文字以上	最小[0]文字以上	[0]は[1]文字以上で入力してください。								
moreInfo	error	base	ja-JP	詳しい情報										
noAutoPrintTargetLayoutError	error	base	ja-JP	自動印刷対象レイアウトが登録されていません。管理者に連絡してください。	印刷設定不備									
noDetailsError	error	base	ja-JP	明細が入力されていません。	明細未入力									
noUseableReportLayoutError	error	base	ja-JP	使用可能な帳票レイアウトが登録されていません。										
notBlankError	info	base	ja-JP	[0]を入力してください。										
numberError	error	base	ja-JP	数値のみ										
onlyOneSelect	error	base	ja-JP	一件のみ選択して下さい。	1件のみ選択									
overLimitSizeWarn	warn	base	ja-JP	検索件数が[0]件を超えています。[1]件以降のデータを表示する場合は検索条件を変更して再検索して下さい。										
overSafetySizeError	error	base	ja-JP	検索件数が[0]件を超えています。検索条件を見直し再度処理を実行して下さい。										
overSafetySizeToReportError	error	base	ja-JP	発行データ件数が[0]件を超えています。発行条件を見直し再度処理を実行して下さい。										
passwordChangeByMgtSuccess	info	base	ja-JP	パスワードが変更されました｡										
passwordChangeErrorAvailableDateContext	error	base	ja-JP	パスワード変更ができません｡[/][0]には[1]より後の日付を入力してください。										
passwordChangeErrorBecameLockout	error	base	ja-JP	ロックアウトされました。システム管理者に問い合わせてください。[/]ログイン画面に移動します。										
passwordChangeErrorLockout	error	base	ja-JP	ロックアウトされています。システム管理者に問い合わせてください。[/]ログイン画面に移動します。										
passwordChangeErrorMinAlpha	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の英字を含めてください。										
passwordChangeErrorMinLength	error	base	ja-JP	パスワード変更ができません｡[/]パスワードは[0]桁以上を入力してください。										
passwordChangeErrorMinLowerCase	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の小文字を含めてください。										
passwordChangeErrorMinNumbers	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の数字を含めてください。										
passwordChangeErrorMinSymbol	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の半角記号を含めてください。										
passwordChangeErrorMinUpperCase	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の大文字を含めてください。										
passwordChangeErrorMismatchNewAndReEnter	error	base	ja-JP	パスワード変更ができません｡[/][0]と[1]が一致しません。										
passwordChangeErrorMismatchNowAndOld	error	base	ja-JP	パスワード変更ができません｡[/]現在使用しているパスワードと[0]が一致しません。										
passwordChangeErrorNoSamePasswordNewAndOld	error	base	ja-JP	パスワード変更ができません｡[/]現在使用しているパスワードと[0]が同じパスワードです。異なるパスワードに変更してください。										
passwordChangeErrorSamePasswordNewAndOld	error	base	ja-JP	パスワード変更ができません｡[/]現在使用しているパスワードと[0]が同じパスワードです。[/]異なるパスワードに変更してください。										
passwordChangeErrorUserAvailableOutOfPeriod	error	base	ja-JP	ユーザが利用期間外です。システム管理者に問い合わせてください。[/]ログイン画面に移動します。										
passwordChangeSuccess	info	base	ja-JP	パスワードが変更されました｡[/]この画面を閉じるとメニューに移動します。										
passwordTitle	info	base	ja-JP	パスワード変更										
patternError	error	base	ja-JP	入力文字不正										
pdfMakeInfomation	info	base	ja-JP	ＰＤＦを作成しています。このままお待ち下さい。										
printDataTypeNotAllowedRePrintError	error	base	ja-JP	[0]は再印刷することができません。										
printSettingTakeoverConfirm	confirm	base	ja-JP	自動印刷対象が変更されました。変更前のレイアウトから印刷設定を引き継ぎますか？										
printerGroupIdIsUsedInOtherPrintServiceWarn	warn	base	ja-JP	指定されたプリンタグループは、すでに別の印刷サービス情報で使用されています。登録して宜しいですか？										
printerGroupNmDuplicateError	error	base	ja-JP	プリンタグループ名が重複しています。	重複									
processCompleteInformation	info	base	ja-JP	処理は正常終了しました。	正常終了									
processExecuteEndInformation	info	base	ja-JP	処理を終了しました。	処理終了									
processExecuteStartInformation	info	base	ja-JP	処理を開始しました。	処理開始									
propertyNmDuplicateError	error	base	ja-JP	項目名は既に登録されています。	重複									
queueAddDtConditionallyRequiredError	error	base	ja-JP	[0]入力時は必須										
registerSuccess	info	base	ja-JP	登録しました。										
reportCdDuplicateError	error	base	ja-JP	帳票CDは既に登録されています。	重複									
reportLayoutNameDuplicateError	error	base	ja-JP	帳票レイアウト名が重複しています。	重複									
requiredError	error	base	ja-JP	必須	必須	[0]を入力してください。								
roleCodeDuplicateError	error	base	ja-JP	権限CDが重複しています。	重複									
roleGrpCodeDuplicateError	error	base	ja-JP	権限グループCDが重複しています。	重複									
screenCdDuplicateError	error	base	ja-JP	画面CDが重複しています。	重複									
screenMasterError	error	base	ja-JP	画面マスタ取得エラー	取得失敗									
search	info	base	ja-JP	検索										
searchCondition	info	base	ja-JP	検索条件										
searchConditionAll	info	base	ja-JP	全										
searchConditionMain	info	base	ja-JP	主										
searchConditionOther	info	base	ja-JP	他										
statusCode	error	base	ja-JP	ステータスコード										
systemMasterError	error	base	ja-JP	システム管理マスタ取得エラー	取得失敗									
timeError	error	base	ja-JP	時刻不正(形式:[0])										
timeoutError	error	base	ja-JP	他のユーザが使用中です。少々時間を置いてから再度処理を実行して下さい。										
unhandledError	error	base	ja-JP	致命的エラーが発生しました。管理者に連絡して下さい。[0]	致命的エラー									
unknownError	error	base	ja-JP	不明なエラーが発生しました。	不明エラー									
update	info	base	ja-JP	更新										
updateProcessNormalEndInformation	info	base	ja-JP	正常に更新されました。	正常終了									
updateSuccess	info	base	ja-JP	更新しました。										
userAutoPrintSetting	info	base	ja-JP	自動印刷設定										
userEditErrorAlreadyRegistered	error	base	ja-JP	ユーザCDは既に登録されています。										
userMessage	error	base	ja-JP	メッセージ										
viewOrderDuplicateError	error	base	ja-JP	表示順が重複しています。	重複									
